λ,k,T,x,su
10.0,1.0001,0.05,10.0,0.500013138036025
10.0,1.0001,0.05,15.0,0.1317802157807325
10.0,1.0001,0.05,30.0,3.87233316539913e-6
10.0,1.0001,0.25,2.0,0.999968332532431
10.0,1.0001,0.25,8.0,0.8413474689364602
10.0,1.0001,0.25,10.0,0.5000040166864769
10.0,1.0001,0.25,15.0,0.0062098081081405545
10.0,1.0001,0.25,30.0,7.592549273601649e-24
10.0,1.0001,1.0,2.0,0.9999999999999993
10.0,1.0001,1.0,8.0,0.9772501698747412
10.0,1.0001,1.0,10.0,0.5000019980560853
10.0,1.0001,1.0,15.0,2.924040106155105e-7
10.0,1.0001,1.0,30.0,2.7514266093734506e-89
10.0,1.5,0.001,2.0,0.9902194034419143
10.0,1.5,0.001,8.0,0.9226855242602282
10.0,1.5,0.001,10.0,0.8927188246060723
10.0,1.5,0.001,15.0,0.8077031682315963
10.0,1.5,0.001,30.0,0.521348017123127
10.0,1.5,0.01,2.0,0.9650027242666851
10.0,1.5,0.01,8.0,0.7324832314808903
10.0,1.5,0.01,10.0,0.6368738668884641
10.0,1.5,0.01,15.0,0.4009757098522899
10.0,1.5,0.01,30.0,0.03192607218084073
10.0,1.5,0.05,2.0,0.9825493382964552
10.0,1.5,0.05,8.0,0.718507833782411
10.0,1.5,0.05,10.0,0.5462204556697832
10.0,1.5,0.05,15.0,0.15262549897626643
10.0,1.5,0.05,30.0,5.166506426854367e-6
10.0,1.5,0.25,2.0,0.9999797403792102
10.0,1.5,0.25,8.0,0.8545777984030528
10.0,1.5,0.25,10.0,0.5200748626266102
10.0,1.5,0.25,15.0,0.00696087691474609
10.0,1.5,0.25,30.0,9.99176572540497e-24
10.0,1.5,1.0,2.0,0.9999999999999996
10.0,1.5,1.0,8.0,0.9787174367728093
10.0,1.5,1.0,10.0,0.5099892337287911
10.0,1.5,1.0,15.0,3.2358892926370955e-7
10.0,1.5,1.0,30.0,3.6208812103071955e-89
10.0,2.4,0.001,2.0,0.9995023046911071
10.0,2.4,0.001,8.0,0.9863506270072466
10.0,2.4,0.001,10.0,0.9768988739978475
10.0,2.4,0.001,15.0,0.9408138445934723
10.0,2.4,0.001,30.0,0.7363601668831008
10.0,2.4,0.01,2.0,0.9949971089514295
10.0,2.4,0.01,8.0,0.8733248130604927
10.0,2.4,0.01,10.0,0.7956173326608266
10.0,2.4,0.01,15.0,0.5555104892990381
10.0,2.4,0.01,30.0,0.055300729479462796
10.0,2.4,0.05,2.0,0.9950286023091754
10.0,2.4,0.05,8.0,0.7921817061654784
10.0,2.4,0.05,10.0,0.6273044463624979
10.0,2.4,0.05,15.0,0.19528194960125553
10.0,2.4,0.05,30.0,8.592468317706318e-6
10.0,2.4,0.25,2.0,0.9999912285704312
10.0,2.4,0.25,8.0,0.8764832998721849
10.0,2.4,0.25,10.0,0.5560459877149568
10.0,2.4,0.25,15.0,0.008516430851101254
10.0,2.4,0.25,30.0,1.6380768119146155e-23
10.0,2.4,1.0,2.0,0.9999999999999998
10.0,2.4,1.0,8.0,0.9811577537474351
10.0,2.4,1.0,10.0,0.5279498229550412
10.0,2.4,1.0,15.0,3.8833769373258375e-7
10.0,2.4,1.0,30.0,5.936330414693148e-89
10.0,3.0,0.001,2.0,0.9999360721139473
10.0,3.0,0.001,8.0,0.9959790584799065
10.0,3.0,0.001,10.0,0.9922277945082925
10.0,3.0,0.001,15.0,0.9746944205204925
10.0,3.0,0.001,30.0,0.832521067508464
10.0,3.0,0.01,2.0,0.9987197694165815
